id,county,state,total_households,avg_household_income_dollars,desktop_laptop,perc_desktop_laptop,broadband,perc_broadband,rural_urban
41071,Yamhill County,Oregon,37235,82789,30714,82.48690747952196,31215,83.83241,urban
41053,Polk County,Oregon,31218,82141,26033,83.39099237619322,28558,91.47928,urban
41003,Benton County,Oregon,35520,83121,31678,89.18355855855856,33133,93.27984,urban
41005,Clackamas County,Oregon,158749,109685,139470,87.85567153178918,141140,88.907646,urban
41017,Deschutes County,Oregon,79950,92270,70078,87.65228267667293,70855,88.62414,urban
41029,Jackson County,Oregon,89787,75097,72262,80.48158419370287,77033,85.79527,urban
41039,Lane County,Oregon,156072,70610,129557,83.0110461838126,138872,88.97945,urban
41047,Marion County,Oregon,119511,72139,93554,78.28066035762399,102608,85.85653,urban
41051,Multnomah County,Oregon,330223,96037,278785,84.42325337726324,297605,90.12243,urban
41067,Washington County,Oregon,225955,104704,199725,88.39149388152508,209155,92.56489,urban
41019,Douglas County,Oregon,45647,59497,36192,79.28670011172694,37966,83.17304,rural
41033,Josephine County,Oregon,37059,62844,28404,76.64534930786044,29897,80.67406,rural
41035,Klamath County,Oregon,26798,56559,19558,72.9830584371968,22278,83.13307,rural
41043,Linn County,Oregon,48464,68989,38094,78.60267414988445,41281,85.17869,rural
41059,Umatilla County,Oregon,26048,67540,19663,75.48756142506143,21256,81.603195,rural
